"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN","FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN",477,-0.360177484572416,-1.65968341469375,8.42723257127603e-09,2.26486557148916e-07,1.70358231300509e-07,3316,"tags=32%, list=21%, signal=26%","SMAD5/VDAC2/NNT/SLC13A3/AQP3/SLC25A4/UFL1/ACOX1/ST13/CDC42BPA/DDX10/SMPDL3A/ZNF117/ACSM3/SRRM1/FAH/TOMM20/ANK2/MAF/SPTSSA/ALDH6A1/MPC2/BPHL/KIF3A/PEX19/HSPA4/FOLH1/GPD1L/CYB5A/GULP1/NQO2/SLC16A7/MAOB/ABCD3/RBPMS/DDX3X/GCSH/PEBP1/PIK3R1/PTPRD/RNASE4/ZNF91/CBR4/QPRT/TUBB2A/DSTN/PUM1/RTN4/MXI1/SDC1/MPDZ/MT1X/ASPA/NCKAP1/COX7A1/OXCT1/SHMT1/WWP1/ACOT2/PMPCB/CYB5R3/PGM1/ABCC6/PDZK1IP1/HIBCH/IGFBP5/VAT1/RAB40B/ALDH4A1/CLTB/RIDA/DZIP1/PHYH/AGL/PRDX2/SERBP1/BTBD3/SOD1/PJA2/YWHAE/MAOA/CAT/TOB1/FGF9/HPGD/EFHD1/IGF1R/PTH1R/GOLGA4/SYPL1/AK4/SH3YL1/TECR/ASAP2/TOMM34/HADH/COBLL1/KBTBD11/DEFB1/IMPA2/CD9/MSH3/KANK1/PPP2R3A/ASS1/CRYM/SELENBP1/CYP3A5/EHHADH/PTPN3/FGF1/NR3C2/ANK3/PTGER3/SLC4A4/MYH11/USP2/CDH1/DST/EPHX2/HSPA4L/SH3BGR/IGSF3/MYO6/CAP2/AKR1C3/CDS1/FNBP1L/HSPB1/BAMBI/CLDN10/PGRMC2/ESRRG/PARD3/ACADSB/ALDH5A1/BBOX1/GPC3/ALDH3A2/GATM/MFAP3L/AZGP1/AKR1C1/ERBB3/CRYAB/EPCAM/CLDN8/GLYAT/EIF1AX/RBP4/DSP/HSD11B2/EXPH5/ERBB4"
"BIOCARTA_TCYTOTOXIC_PATHWAY","BIOCARTA_TCYTOTOXIC_PATHWAY",12,0.947615423642821,2.08640932290936,8.64951911036709e-09,2.31432044514999e-07,1.7407811865811e-07,838,"tags=100%, list=5%, signal=95%","CD8A/CD247/CD3G/CD3D/ITGB2/PTPRC/ICAM1/ITGAL/CD28/THY1/CD3E/CD2"
"ZHU_CMV_8_HR_UP","ZHU_CMV_8_HR_UP",37,0.797009472401638,2.26426051011402,9.24820801565981e-09,2.46360854055925e-07,1.85307242456137e-07,2067,"tags=70%, list=13%, signal=61%","CXCL10/IDO1/IL6/IFITM1/CCL5/GBP1/OAS2/IFI6/GCH1/ISG15/SLC39A14/BRCA2/ATF5/OAS1/TNFAIP3/NAMPT/IL11/PSMB8/NR4A3/LGMN/PTGS2/TRIM21/MX1/MX2/ALAS1/PML"
"REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES","REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES",106,-0.559145304691308,-2.1950591356562,9.9185003881757e-09,2.63057771260081e-07,1.97866298140846e-07,2043,"tags=19%, list=13%, signal=17%","CEBPA/SCD5/PNPLA2/ACSS3/PEX11A/RXRA/PPARG/CD36/AJUBA/SCD/PPARGC1A/LIPE/LPL/DGAT2/GPAM/FABP4/CIDEC/THRSP/ADIPOQ/PLIN4"
"WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE","WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE",23,0.859032731693366,2.17354895255246,1.01159614459917e-08,2.67123226479964e-07,2.00924244578856e-07,753,"tags=61%, list=5%, signal=58%","IFNG/CD8A/ZAP70/LCK/CD274/PDCD1/CD3G/CD3D/CD8B/BATF/PDCD1LG2/HLA-DRB1/CD3E/HLA-A"
"HINATA_NFKB_TARGETS_KERATINOCYTE_UP","HINATA_NFKB_TARGETS_KERATINOCYTE_UP",82,0.661706212259815,2.14808592034207,1.06913680105935e-08,2.78666820517494e-07,2.09607083365582e-07,1362,"tags=45%, list=9%, signal=41%","MMP1/CXCL10/CXCL11/IL6/SERPINE1/MMP9/IL1B/IL15/CCL5/GBP1/CSF2/BCL2A1/CXCL6/CXCL3/TNFAIP6/ICAM1/SOD2/IL7R/IRF1/CD83/TRAF1/IL32/RARRES1/CXCL8/CCL20/TAP1/FN1/TNF/TNFAIP3/TNFAIP2/PLAU/SLC7A2/CYP27B1/LITAF/TNC/MMP14/ESM1"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",133,0.588519854405714,2.01028242088416,1.06832579496381e-08,2.78666820517494e-07,2.09607083365582e-07,4399,"tags=68%, list=28%, signal=49%","CEP55/KIF14/KIF2C/MYBL2/APOBEC3B/KIF4A/TACC3/KIF11/RRM2/CDC6/NETO2/CDKN2A/LMNB1/KIF20A/BID/KIF18B/GTSE1/UBE2S/AURKA/EIF4EBP1/MELK/BUB1/MCM10/CDK1/CKS2/BIRC5/NUSAP1/FBXO5/HMMR/LRP8/CCNB2/PTTG1/ZWINT/UBE2C/CCNA2/E2F1/MCUB/PCNA/DLGAP5/ASF1B/POLA2/TYMS/GINS4/RAD51AP1/STIL/HMGA1/KIF23/GINS1/ASPM/CENPA/NCAPH/DNA2/CDCA3/E2F8/HJURP/FEN1/HMGB2/KPNA2/TMPO/TPX2/CCNB1/NDC80/SHCBP1/CDC20/TTK/PLK1/CHEK1/DBF4/CELSR3/ECT2/HELLS/KIF15/PBK/MCM2/TOP2A/CENPE/CA2/ERCC6L/EZH2/MKI67/DTYMK/POLQ/CCNF/MAD2L1/PAFAH1B3/SLC25A15/NEK2/SMC4/CCNE2/CDCA8"
"TARTE_PLASMA_CELL_VS_PLASMABLAST_UP","TARTE_PLASMA_CELL_VS_PLASMABLAST_UP",308,0.490220948605758,1.79734828586946,1.06333782347361e-08,2.78666820517494e-07,2.09607083365582e-07,2337,"tags=35%, list=15%, signal=30%","IGLC1/IGKC/SERPINA1/SERPINB4/GZMA/S100A8/LYZ/KRT6C/MMP9/IGLC7/IFITM1/CEACAM4/SPRR2A/VCAM1/CD3D/TCL1A/CD8B/ADAM8/FGR/FCER1G/CD72/FCGR3B/CCR7/COL4A1/APOC1/HLA-DQA1/IL7R/ITGAX/CYBA/CFB/CTSL/LST1/TLR1/TRAF1/BIRC3/CD3E/HLA-F/FBP1/CXCL8/SKAP1/MME/KCNMA1/KRT6A/B2M/HLA-DOB/FMOD/CR1/LGALS9/ADORA3/ALOX5AP/TNFAIP3/TCN2/IFI44/MDK/DLG4/CD22/HLA-B/TNFAIP2/CPA3/CHN1/COL11A1/CD40/IFI44L/FTL/IKBKE/PLCB2/SPIB/C4A/RELB/GAA/TNC/NFKB2/TRIM22/MERTK/P2RX1/LGMN/ACTB/CBLB/TGFB3/HEXA/GPR18/RUNX1/IFITM3/BTN2A2/LCN2/SIRPA/SERPING1/OAZ1/C1S/MX1/MX2/SATB1/AEBP1/IL4R/HERPUD1/ITGAD/FUCA1/RAB32/SSR4/IFIT5/FSCN1/ALDH1A1/KCNQ1/HP/IGFBP4/COL1A1/SMPDL3B/YES1"
"MCLACHLAN_DENTAL_CARIES_DN","MCLACHLAN_DENTAL_CARIES_DN",68,-0.639496405035869,-2.33098829741051,1.1307807082015e-08,2.93469139162854e-07,2.20741063480402e-07,2864,"tags=59%, list=18%, signal=48%","ZNF423/FGFR1/CPE/ISYNA1/AOC2/NAP1L3/ADGRG2/PTPRK/OMD/SLIT2/CRABP1/SESN1/ITGB1BP1/KIT/SPOCK1/TIAM1/PEG10/OSR2/GHR/ABLIM1/ATP9A/MPPED2/PHLPP1/ANK3/GPR37/LGR4/AHNAK/PGAP1/ADIRF/PCDH9/TMEM255A/GPC3/NRXN1/NEBL/LGR5/PDZD2/CDH12/ATP1A2/DPP6/EIF1AX"
"WP_IL18_SIGNALING","WP_IL18_SIGNALING",241,0.521557122869815,1.87916600739944,1.23374213686307e-08,3.18822166735513e-07,2.39811055932764e-07,2396,"tags=34%, list=15%, signal=29%","MMP1/MMP3/IFNG/CCL4/ACOD1/CCL18/IL6/CCL3/SPP1/IL2RA/MMP9/IL18RAP/IL1B/LCK/CCL5/FASLG/TBX21/CXCL3/S1PR4/SOCS3/MMP13/PLA2G7/IL10/ICAM1/PTPN7/TGM2/ULBP2/NCF1/TNIP3/IRF1/CD83/CCL19/RGS16/TRAF1/NFKBIE/BIRC3/LTB/CXCL8/CCL20/B2M/NCF2/TIMP1/FN1/RUNX2/TNF/TNFAIP3/ZC3H12A/CXCL16/CCL2/TNFAIP2/IL18BP/APBA2/HMOX1/FAS/NFKB2/NR1H3/MMP14/MMP2/TICAM2/PTGS2/RFX5/CASP8/ITM2C/BID/PIGT/TRPC4AP/PTX3/ENO1/RASA3/CCNB2/IER3/TMSB4X/PKN1/ABHD16A/BAX/IRAK1/CCNA2/PRKCB/COL1A1/SLC4A7/IL18R1"
